Artist_Name,Degree_Centrality,Number_of_Track_Collaborations
Future,0.3278688524590164,72
Lil Wayne,0.3278688524590164,28
Travis Scott,0.3114754098360656,48
The Weeknd,0.27868852459016397,18
Drake,0.26229508196721313,55
Ty Dolla $ign,0.26229508196721313,60
Playboi Carti,0.24590163934426232,95
Quavo,0.22950819672131148,23
Post Malone,0.21311475409836067,16
Kendrick Lamar,0.19672131147540983,9
SZA,0.18032786885245902,16
Justin Bieber,0.18032786885245902,12
21 Savage,0.18032786885245902,82
Metro Boomin,0.18032786885245902,135
Bad Bunny,0.18032786885245902,9
Beyonce,0.1639344262295082,10
Kanye West,0.1639344262295082,39
Peso Pluma,0.1639344262295082,17
Rihanna,0.14754098360655737,16
Calvin Harris,0.13114754098360656,14
Rauw Alejandro,0.13114754098360656,11
Don Toliver,0.13114754098360656,13
Eminem,0.13114754098360656,10
Anuel AA,0.11475409836065574,5
Gabito Ballesteros,0.11475409836065574,14
Junior H,0.11475409836065574,20
KAROL G,0.11475409836065574,10
Myke Towers,0.11475409836065574,2
"Tyler, The Creator",0.11475409836065574,11
Ariana Grande,0.11475409836065574,7
Bruno Mars,0.09836065573770492,6
Shakira,0.09836065573770492,6
David Guetta,0.09836065573770492,5
Fuerza Regida,0.09836065573770492,6
Doja Cat,0.09836065573770492,6
Ed Sheeran,0.09836065573770492,5
Natanael Cano,0.09836065573770492,21
Oscar Maydon,0.09836065573770492,12
benny blanco,0.0819672131147541,8
Haze,0.0819672131147541,12
Sexyy Red,0.0819672131147541,5
Feid,0.0819672131147541,4
Arijit Singh,0.0819672131147541,81
Lady Gaga,0.06557377049180328,4
Taylor Swift,0.06557377049180328,7
Lana Del Rey,0.06557377049180328,5
Pritam,0.06557377049180328,39
Neton Vega,0.06557377049180328,6
ATL Jacob,0.04918032786885246,2
GloRilla,0.04918032786885246,3
Nikhita Gandhi,0.04918032786885246,3
Amitabh Bhattacharya,0.04918032786885246,20
Prashant Pandey,0.04918032786885246,17
XXXTENTACION,0.03278688524590164,3
Dua Lipa,0.03278688524590164,1
Ram Sampath,0.03278688524590164,5
OneRepublic,0.03278688524590164,13
Morgan Wallen,0.01639344262295082,1
Billie Eilish,0.01639344262295082,1
Coldplay,0.01639344262295082,1
Carin Leon,0.01639344262295082,0
Ellie Goulding,0.01639344262295082,3
